,artist,followers,genre,popularity,main_genre
132,The Who,4305581,"['album rock', 'art rock', 'blues rock', 'british invasion', 'classic rock', 'hard rock', 'mellow gold', 'rock']",71,album rock
134,The Smashing Pumpkins,3656453,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'pop rock', 'rock']",74,alternative metal
135,Franz Ferdinand,2156682,"['alternative dance', 'alternative rock', 'dance rock', 'indie rock', 'modern rock', 'new rave', 'rock', 'scottish rock']",69,alternative dance
136,Oasis,6872483,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",79,beatlesque
137,The Cribs,171141,"['british indie rock', 'britpop', 'indie rock', 'modern alternative rock', 'modern rock', 'new rave', 'west yorkshire indie']",48,british indie rock
142,The Hives,632256,"['alternative rock', 'garage rock', 'garage rock revival', 'modern rock', 'new rave', 'rock', 'swedish garage rock', 'swedish hard rock', 'swedish indie rock']",63,alternative rock
143,Vampire Weekend,1766070,"['baroque pop', 'indie rock', 'modern rock']",70,baroque pop
144,The Strokes,4093912,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']",79,alternative rock
145,Pixies,2058927,"['alternative rock', 'boston rock', 'modern rock', 'permanent wave', 'rock']",72,alternative rock
146,The National,1358586,"['indie rock', 'modern rock', 'stomp and holler']",69,indie rock
148,MGMT,2400128,"['alternative dance', 'indie rock', 'indietronica', 'modern rock', 'rock']",78,alternative dance
154,Blur,2350557,"['alternative rock', 'britpop', 'madchester', 'modern rock', 'permanent wave', 'pop rock', 'rock']",71,alternative rock
157,The Raconteurs,776592,"['alternative rock', 'garage rock', 'garage rock revival', 'indie rock', 'modern alternative rock', 'modern blues rock', 'modern rock', 'rock', 'supergroup']",63,alternative rock
158,Jimi Hendrix,5344809,"['acid rock', 'album rock', 'blues rock', 'classic rock', 'hard rock', 'psychedelic rock', 'rock']",74,acid rock
161,Grima x Azza,11583,['bass house'],48,bass house
162,The Game,3696305,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",75,gangster rap
163,Ricky Desktop,57971,['viral rap'],60,viral rap
164,DaBaby,8679786,"['north carolina hip hop', 'rap']",89,north carolina hip hop
165,KBFR,7153,['viral rap'],43,viral rap
166,Jason Derulo,10475665,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",85,dance pop
167,Enya,1644542,"['celtic', 'middle earth']",75,celtic
168,BLIND.SEE,24205,['viral rap'],47,viral rap
169,AWOLNATION,2019420,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp pop']",67,la indie
170,The Brian Jonestown Massacre,279364,"['alternative rock', 'bay area indie', 'chamber psych', 'freak folk', 'garage rock', 'indie rock', 'neo-psychedelic', 'shoegaze']",57,alternative rock
