,artist,followers,genre,popularity,main_genre
1347,The Maccabees,341981,"['alternative dance', 'british indie rock', 'indie rock', 'modern rock', 'new rave']",55,alternative dance
1348,Nancy Sinatra,338510,['brill building pop'],67,brill building pop
1396,A$AP Rocky,10341466,"['east coast hip hop', 'hip hop', 'rap', 'trap']",85,east coast hip hop
1407,R.E.M.,3296789,"['alternative rock', 'athens indie', 'classic rock', 'permanent wave', 'pop rock', 'rock']",76,alternative rock
1409,Odd Future,866575,"['hip hop', 'rap']",57,hip hop
1416,Terror Squad,150902,"['bronx hip hop', 'hardcore hip hop']",55,bronx hip hop
1417,Grits,71643,['christian hip hop'],58,christian hip hop
1418,Interpol,1346690,"['alternative dance', 'alternative rock', 'indie rock', 'modern rock', 'new rave', 'rock']",67,alternative dance
1421,Sia,21777087,"['australian dance', 'australian pop', 'pop']",90,australian dance
1425,Drenge,53074,"['derby indie', 'english indie rock', 'garage rock revival', 'modern alternative rock']",35,derby indie
1463,Jungle,693438,"['indie soul', 'uk contemporary r&b']",70,indie soul
1465,Disclosure,1979347,"['house', 'pop', 'uk dance']",77,house
1572,SBTRKT,614210,"['electronica', 'electropop', 'future garage', 'new rave']",54,electronica
1596,Django Django,232571,"['alternative dance', 'chamber psych', 'electronic rock', 'electronica', 'indie rock', 'new rave', 'shimmer pop']",51,alternative dance
1609,Underworld,487140,"['alternative dance', 'big beat', 'electronica', 'new rave']",59,alternative dance
1621,Rage Against The Machine,4606732,"['alternative metal', 'alternative rock', 'conscious hip hop', 'funk metal', 'nu metal', 'political hip hop', 'rap metal', 'rap rock', 'rock']",74,alternative metal
1678,Tove Lo,2912813,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'pop', 'post-teen pop', 'swedish electropop', 'swedish pop', 'swedish synthpop']",78,art pop
1707,Royal Blood,1369241,"['alternative rock', 'brighton indie', 'garage rock', 'modern alternative rock', 'modern blues rock', 'modern hard rock', 'modern rock', 'rock']",69,alternative rock
1861,Various Artists,1398212,[],0,
1865,Cage The Elephant,2732647,"['modern rock', 'punk blues', 'rock']",77,modern rock
1873,James Brown,1840971,"['funk', 'motown', 'soul']",68,funk
1874,Brother Dege,48043,"['gothic americana', 'lafayette indie', 'modern blues rock', 'rebel blues']",47,gothic americana
1878,The Jackson 5,1198964,"['adult standards', 'motown', 'soul']",78,adult standards
1879,Johnny Flynn,163476,"['indie folk', 'stomp and holler', 'uk americana']",53,indie folk
1880,Generationals,135046,"['alternative dance', 'chillwave', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'new orleans indie', 'shimmer pop', 'stomp and holler']",53,alternative dance
1886,Pearl Jam,7191645,"['grunge', 'permanent wave', 'rock']",78,grunge
1901,Harry Chapin,258238,"['country rock', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock']",54,country rock
1907,Peace,100265,"['birmingham indie', 'english indie rock', 'modern alternative rock', 'modern rock']",42,birmingham indie
1931,Grimes,1539852,"['art pop', 'canadian electropop', 'chillwave', 'dance pop', 'electropop', 'grave wave', 'indietronica', 'metropopolis', 'pop']",71,art pop
1950,Yeah Yeah Yeahs,1058813,"['alternative dance', 'alternative rock', 'dance-punk', 'garage rock', 'indie pop', 'indie rock', 'modern rock', 'new rave', 'rock']",67,alternative dance
1953,Massive Attack,1797861,"['big beat', 'downtempo', 'electronica', 'trip hop']",67,big beat
1963,Calvin Harris,22364012,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop rap', 'progressive house', 'uk dance']",86,dance pop
1964,YG,2731039,"['cali rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",79,cali rap
1967,Daft Punk,8469344,"['electro', 'filter house']",82,electro
1968,Woodkid,678372,['chamber pop'],68,chamber pop
1977,Chase & Status,598360,"['dancefloor dnb', 'drum and bass']",63,dancefloor dnb
1980,Death In Vegas,119667,"['alternative dance', 'big beat', 'chamber psych', 'electronica', 'techno', 'trip hop']",48,alternative dance
1983,Bastille,4899599,"['metropopolis', 'modern rock', 'pop', 'pop rock', 'tropical house']",79,metropopolis
1988,Talking Heads,1735013,"['art punk', 'art rock', 'dance rock', 'funk rock', 'new wave', 'permanent wave', 'post-punk', 'rock', 'zolo']",71,art punk
1994,The Police,4608853,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'new wave', 'permanent wave', 'rock', 'soft rock']",77,album rock
1995,Dropkick Murphys,1042553,"['boston punk', 'boston rock', 'celtic punk', 'celtic rock', 'punk', 'skate punk']",66,boston punk
1997,John Frusciante,506851,"['acoustic rock', 'alternative rock', 'rock']",58,acoustic rock
2000,Phoenix,1727553,"['alternative dance', 'indie rock', 'modern rock', 'new rave', 'pop rock', 'rock independant francais']",66,alternative dance
2010,HAIM,1134274,"['art pop', 'dance pop', 'indie pop', 'metropopolis', 'pop rock']",70,art pop
2018,Korn,5111902,"['alternative metal', 'funk metal', 'nu metal', 'rap metal', 'rock']",77,alternative metal
2019,Fall Out Boy,9205487,"['emo', 'modern rock', 'rock']",81,emo
